roster_randomid,officialroster,ingradebookdata,insurveyparticipatedata,status,gender,eth2009rollupforreporting,agegroup,lowincomeflag,fulltimestatus,firstgenerationflag,homeprimarylang,admissionsstatusdetail,hsgpa,transfergpa,gpacumulative,firstregacadyr,firstregacadterm,major1
649091,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,20,N,Part-time,Y,English/non-English,Freshman,4.0599999,,,2014-15,Fall,Biological Sciences
195967,NO,,Yes,,,,,,,,,,,,,,,
807444,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,19,N,Part-time,N,English/non-English,Freshman,4,,,2014-15,Fall,Biological Sciences
367621,,,,,,,,,,,,,,,,,,
235765,Yes,Yes,Yes,Enrolled,,,,,,,,,,,,,,
714591,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,20,Y,Full-time,N,English/non-English,Freshman,3.9100001,,,2014-15,Fall,Biological Sciences
689154,Yes,Yes,Yes,Enrolled,,,,,,,,,,,,,,
556811,Yes,Yes,Yes,Enrolled,Female,Hispanic,19,Y,Part-time,Y,English/non-English,Freshman,4.0900002,,,2014-15,Fall,Biological Sciences
141747,Yes,Yes,Yes,Enrolled,Male,International student,20,N,Part-time,N,Non-English,Freshman,3.78,,,2014-15,Fall,Biological Sciences
146863,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,21,Y,Full-time,Y,English/non-English,Freshman,3.8800001,,,2013-14,Fall,Social Policy and Public Servi
653129,Yes,Yes,Yes,Enrolled,Male,Unknown / declined to state,19,Y,Part-time,N,English only,Freshman,3.52,,,2014-15,Fall,Pharmaceutical Sciences
726750,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,19,N,Part-time,N,English/non-English,Freshman,4,,,2014-15,Fall,Pharmaceutical Sciences
180174,Yes,Yes,Yes,Enrolled,,,,,,,,,,,,,,
372017,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,20,Y,Full-time,MDT,English/non-English,Freshman,3.8699999,,,2014-15,Fall,Biological Sciences
231943,Yes,Yes,Yes,Enrolled,,,,,,,,,,,,,,
720875,Yes,Yes,Yes,Enrolled,,,,,,,,,,,,,,
728936,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,19,N,Full-time,Y,Non-English,Freshman,4.3600001,,,2014-15,Fall,Pharmaceutical Sciences
744067,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,20,N,Full-time,N,English/non-English,Freshman,4,,,2014-15,Fall,Biological Sciences
507347,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,20,N,Part-time,N,English only,Freshman,4.1799998,,,2014-15,Fall,Psychology and Social Behavior
450617,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,20,N,Part-time,N,Non-English,Freshman,4.1799998,,,2014-15,Fall,Biological Sciences
703891,NO,,Yes,,,,,,,,,,,,,,,
300495,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,22,N,Full-time,MDT,English/non-English,Freshman,4.1799998,,,2012-13,Fall,History
197521,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,20,N,Full-time,N,English/non-English,Freshman,4.0700002,,,2014-15,Fall,Biological Sciences
807647,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,20,Y,Part-time,Y,English only,Freshman,4.1799998,,,2014-15,Fall,Biological Sciences
214859,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,19,Y,Full-time,Y,English/non-English,Freshman,4,,,2014-15,Fall,Biological Sciences
791363,Yes,Yes,Yes,Enrolled,Male,"White, non-Hispanic",20,N,Full-time,N,English/non-English,Freshman,4.04,,,2014-15,Fall,Biological Sciences
261820,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,19,N,Full-time,Y,Non-English,Freshman,4.0799999,,,2014-15,Fall,Biological Sciences
639104,NO,,Yes,,Female,International student,19,N,Part-time,N,Non-English,Freshman,3.78,,,2015-16,Fall,Biological Sciences
105751,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,19,Y,Part-time,Y,English/non-English,Freshman,3.95,,,2014-15,Fall,Biological Sciences
899347,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,21,Y,Full-time,Y,Non-English,Freshman,4,,,2013-14,Fall,Biological Sciences
701268,NO,,Yes,,Female,Asian / Pacific Islander,19,N,Part-time,N,English/non-English,Freshman,4.4000001,,,2014-15,Fall,Biological Sciences
806308,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,19,N,Full-time,N,English only,Freshman,4.1100001,,,2015-16,Fall,Biological Sciences
698539,Yes,Yes,Yes,Enrolled,Female,Hispanic,19,N,Full-time,Y,English/non-English,Freshman,4,,,2014-15,Fall,Pharmaceutical Sciences
161048,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,20,N,Part-time,Y,English/non-English,Freshman,4.0900002,,,2014-15,Fall,Computer Science
660042,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,20,N,Full-time,MDT,English/non-English,Freshman,4.2600002,,,2014-15,Fall,Pharmaceutical Sciences
438171,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,20,Y,Full-time,Y,Non-English,Freshman,4.0799999,,,2015-16,Fall,Biology/Education
531161,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,19,N,Part-time,Y,English/non-English,Freshman,4.27,,,2014-15,Fall,Biological Sciences
708793,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,21,N,Part-time,N,English/non-English,Freshman,4,,,2013-14,Fall,Biological Sciences
806999,Yes,Yes,Yes,Enrolled,,,,,,,,,,,,,,
713290,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,21,N,Full-time,Y,Non-English,Freshman,4,,,2013-14,Fall,Biological Sciences
295360,Yes,Yes,Yes,Enrolled,Female,International student,20,N,Part-time,Y,Non-English,Freshman,4.0700002,,,2014-15,Fall,Biological Sciences
385563,Yes,Yes,Yes,Enrolled,Male,International student,19,Y,Full-time,N,Non-English,Freshman,4,,,2015-16,Fall,Computer Game Science
575990,Yes,Yes,Yes,Enrolled,Female,Hispanic,19,Y,Part-time,Y,Non-English,Freshman,4.04,,,2014-15,Fall,Biological Sciences
769969,Yes,Yes,Yes,Enrolled,Female,"White, non-Hispanic",20,N,Part-time,N,English only,Freshman,3.1600001,,,2013-14,Fall,Dance
663523,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,21,N,Full-time,N,English/non-English,Freshman,4.1799998,,,2013-14,Fall,Pharmaceutical Sciences
877457,Yes,Yes,Yes,Enrolled,Female,Hispanic,20,N,Full-time,Y,English only,Freshman,4.29,,,2014-15,Fall,Biological Sciences
367687,Yes,Yes,Yes,Enrolled,Female,"White, non-Hispanic",20,N,Full-time,N,Non-English,Freshman,4.04,,,2013-14,Fall,Public Health Sciences
325700,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,18,N,Full-time,Y,English/non-English,Freshman,4.3000002,,,2015-16,Fall,Software Engineering
948009,Yes,Yes,Yes,Enrolled,Female,Hispanic,20,Y,Full-time,N,English/non-English,Freshman,4.04,,,2014-15,Fall,Biological Sciences
934386,Yes,Yes,Yes,Enrolled,Male,Hispanic,19,N,Part-time,N,English only,Freshman,3.29,,,2014-15,Fall,Biological Sciences
